奉太奎/尹汝贞/金叡园/徐英/吴达洙,1313562/1275611/1313600/1313845/1203077
王晶/曾志伟/杜汶泽/周秀娜/詹瑞文/陈法蓉,1274331/1002862/1019343/1313563/1304196/1042518
NotDefined,NotDefined
迈克尔·凯恩/唐纳德·萨瑟兰/罗伯特·杜瓦尔,1054509/1010556/1013776
加布里埃尔·伯恩/杰西·艾森伯格/伊莎贝尔·于佩尔/戴文·德鲁伊/蕾切尔·布罗斯纳安/露比·杰琳斯/艾米·莱安/大卫·斯特雷泽恩/卡特里娜·E·珀金斯,1044881/1027144/1054515/1345943/1327042/1275883/1144124/1007009/1347708
赵又廷/阮经天/凤小岳/黄镫辉/陈汉典/柯佳嬿/马如龙/蔡昌宪/钮承泽/席曼宁,1274608/1259866/1274684/1275481/1274546/1274458/1274685/*/1274411/1314706
周润发/林子祥/狄波拉,*/*/*
黛博拉·佩吉特/保罗·霍布施米特/沃尔特·雷耶尔,1022877/1012674/1145181
周璇/徐风/白燕/蔡瑾/周起,*/*/*/*/*
杨俊/张辉/魏蕤/汪传年/丁紫旺,*/*/*/*/*
卡尔·布里松/马尔科姆·基恩/安妮·奥德拉/Randle Ayrton/Clare Greet,1074445/1111251/1048325/1058948/1102325
戴夫·帕特尔/阿米·汉莫/纳赞宁·波妮阿蒂/刘承羽/阿努潘·凯尔/Tilda Cobham-Hervey,1025134/1049997/1018319/1354641/1054303/1360886
笠智众/寺尾聪/原田美枝子/倍赏美津子/小野真理惠/马丁·斯科塞斯,1143078/1045788/1014550/1042205/1316270/1054425
何韵诗/路嘉欣/韦罗莎,*/*/*
五十岚隼士/黑步进/团时朗/森次晃嗣/高峰圭二/平田弥里/齐川爱,1275252/*/*/1033968/1313688/1351314/1361910
周星驰/李成昌/湘漪/陈有后/麦皓为,1048026/1315069/1351942/1340324/1349463
伊丽莎白·班克斯/罗伯·劳/威尔·福特,1004571/1041066/1019039
秦汉/吕琇菱/刘蓝溪,*/*/*
Kim Jae-rok (김재록)/Kang Ha-ri (강하리)/Seong Yong-won (성용원)/Jin Geon (진건),*/*/*/*
张瑜/陈道明/陈宝国/陶泽如/廖学秋/赵军/孙敏/郭丽红/程希/陈瑶瑶,*/*/*/*/*/*/*/*/*/*
泽田研二/毬谷友子/宫崎万纯,1010914/1003182/*
赤坂丽/梅野浩/内藤刚志/志水季里子,1326840/*/1020440/*
东山纪之/千堂秋穗/国分太一/川岛直美,1029355/1314796/1053132/1042781
Sergio Castellitto/Nino Manfredi/Marie Trintignant,*/*/*
NotDefined,NotDefined
彼得·奥图尔/索菲娅·罗兰/詹姆斯·可可/哈里·安德鲁斯,1025208/1049559/1075618/1059229
布拉德·皮特 Brad Pitt/凯瑟琳·基纳 Catherine Keener/塞缪尔·杰克逊 Samuel L. Jackson,*/*/*
吴智昊/韩艺瑟/朴寒星/李圣旻/金光奎/郑秀英/金正旭/李美英,1001188/1051057/1042325/1321576/1317057/1313571/1321465/1321466
佐々木ユメカ/下元史朗/奈贺球子/佐藤干雄/饭田孝男/佐野和宏,*/1274782/*/*/*/*
科比·布莱恩特(Kobe Bryant )/勒布朗·詹姆斯(LeBron James),*/*
NotDefined,NotDefined
威廉·鲍威尔/海蒂·拉玛/James Craig,1055463/1040709/*
NotDefined,NotDefined
申克/廖春玉/赵然/高全胜,*/*/*/*
小岭丽奈/浅野忠信/京野琴美/岛田久作/黑谷友香,1013678/1036630/1109839/1142576/1037557
凯文·科斯特纳/埃米·马迪根/盖比·霍夫曼/雷·利奥塔/蒂莫西·布斯菲尔德/詹姆斯·厄尔·琼斯/伯特·兰卡斯特/弗兰克·威利/Dwier Brown/James Andelin/Mary Anne Kean/Fern Persons/Kelly Coffield Park/迈克尔·米尔汉/Steve Eastin,1016671/1049630/1013811/1036326/1019078/1013800/1041141/1010646/1073925/1058963/*/1132248/*/1115198/*
詹佳/沈达威/程玉珠/张欣/谢天添/姜玉玲/王肖兵/胡平智/吴磊/徐刚,*/*/*/*/*/*/*/*/*/*
胡歌/刘诗诗/吴奇隆/刘心悠/林更新,1274477/1274533/1042466/1001301/1314535
王贤/景乐,*/*
Melvin Miracle/Jerry Abnes/尼古拉斯·雷/Mary Moore/Jack Monkau/Heathcote Williams,*/*/1022811/1243078/1116225/1041819
李凡秀/金宣儿/安在洪/金姬妍/孔炯轸,1217106/1028506/1021270/1107448/1191201
李智勋/全慧彬/金智英/宋恩彩,1002657/1275581/1053204/1003291
大卫·苏切特/菲利普·杰克森/休·弗拉瑟/保琳·莫兰,1048162/1019160/1080762/1322977
刘蓓/丁志城/李雪健/苏岩/赵曦/张秋芳/傅彪/陶虹/张涵予,1304661/1314198/1274233/1309922/*/1316618/1030488/1015199/1274319
丹尼·凯耶/弗吉尼亚·梅奥/波利斯·卡洛夫,1014035/1036679/1036575
王小燕/陈浩/严明,*/*/*
恰拉/浅野忠信/橋爪 浩一/六平直政/伊藤和枝,1014702/1036630/1319701/1003638/1039595
杰米·福克斯/碧昂丝·诺尔斯/艾迪·墨菲/丹尼·格洛弗/詹妮弗·哈德森/阿尼卡·诺尼·罗斯/基斯·罗宾逊/莎朗·莉尔,1036329/1113823/1002672/1010571/1049673/1049579/1014155/1027313
塔季扬娜·阿克休塔/Nikita Mikhajlovsky/叶莲娜·索洛维/Irina Miroshnichenko/Lidia Fedoseyeva-Shukshina/Albert Filozov/Tatiana Pelttser/鲁菲娜·尼丰托娃/叶夫根尼·格拉西莫夫/里奥尼德·费拉托夫/Vadim Kurkov/叶卡婕琳娜·叶·瓦西利耶娃 Ekaterina Vasileva/柳波芙·索科洛娃,1060199/1123545/1160499/1116811/*/1084584/*/1130246/1034293/1015025/*/*/1154866
逢坂良太/石川界人/森久保祥太郎/小林ゆう/増田俊樹/岸尾だいすけ/蒼井翔太/赤羽根健治/丸高大知/村瀬歩/保志総一朗/市来光弘,*/*/*/*/*/*/*/*/*/*/*/*
李成宰/姜成珍/柳太雄/郑敬和,1050937/1015331/*/*
华少/张惠妹/田馥甄/萧敬腾/胡海泉/陈羽凡/林俊杰,1322856/1317706/1275479/1262478/1326382/1316346/1313342
NotDefined,NotDefined
骆新/施琰,1342429/*
骆新/施琰,*/*
施琰/骆新,1342671/1342429
姚晨/唐嫣/郝蕾/郭富城/李晨/王一博/金圣柱/汤镇业/罗嘉良/林雪/高捷/郑罗茜/于小慧/张辉/王喜,1029395/1274479/1042568/1041390/1274252/1354130/1350667/1028943/1038521/1274279/1276076/1313046/1039585/1357330/1024897
堂本刚/柴崎幸/国仲凉子,1087140/1141865/1220791
中原麻衣/泽城美雪/藤村步/高桥美佳子/田中理惠 Rie Tanaka (I)/辻あゆみ/丰崎爱生/井上喜久子,1033366/1019908/1052148/1022268/*/*/1274459/1028676
NotDefined,NotDefined
徐静蕾/韩童生/贺鹏/孙少华,1000571/1274722/*/*
Isabelle Weingarten/Guillaume des Forêts/Jean-Maurice Monnoyer,1329465/1343883/1343884
巩俐/钟镇涛/林俊贤/姜大卫/林海峰/鲍方/刘国昌/徐韬,1035641/1033223/1315033/1013705/1006502/1044120/1276870/1274923
胡慧中/李赛凤/大岛由加利/林国斌/高雄/李浩群/楚爵年/徐虾,*/*/*/*/*/*/*/*
凯特·波茨沃斯/雅各布·特伦布莱/托马斯·简/安娜贝丝·吉什/达什·米霍克/斯考蒂·汤姆森/杰·卡尔内斯/兰斯·E·尼克尔斯/考特尼·贝尔,1004855/1332866/1031816/1031928/1018075/1040623/1114119/1132652/1191145
Lorenzo Music/Marshall Efron/James Cranna,1045199/*/*
威廉·夏特纳/Allyson Ames/Eloise Hardt/Robert Fortier/Ann Atmar/Milos Milos,1002704/*/*/1042166/1056366/1123744
安娜·盖伊斯洛娃/帕沃·里斯卡/Jan Triska,1099687/1010222/1150872
Marianne Farley/奎恩·罗德/Francis X. McCarthy,*/1004968/*
Edwige Fenech,*
尼克·斯塔尔/安娜索菲亚·罗伯/查理兹·塞隆,1036403/1183788/1018991
